geo_level,geography_id,geography_name,missing_year
county,17191,Wayne County,2025
county,17193,White County,2025
county,17195,Whiteside County,2025
county,17197,Will County,2025
county,17199,Williamson County,2025
county,17201,Winnebago County,2025
county,17203,Woodford County,2025
county,18001,Adams County,2025
county,18003,Allen County,2025
county,18005,Bartholomew County,2025
county,18007,Benton County,2025
county,18009,Blackford County,2025
county,18011,Boone County,2025
county,18013,Brown County,2025
county,18015,Carroll County,2025
county,18017,Cass County,2025
county,18019,Clark County,2025
county,18021,Clay County,2025
county,18023,Clinton County,2025
county,18025,Crawford County,2025
county,18027,Daviess County,2025
county,18029,Dearborn County,2025
county,18031,Decatur County,2025
county,18033,De Kalb County,2025
county,18035,Delaware County,2025
county,18037,Dubois County,2025
county,18039,Elkhart County,2025
county,18041,Fayette County,2025
county,18043,Floyd County,2025
county,18045,Fountain County,2025
county,18047,Franklin County,2025
county,18049,Fulton County,2025
county,18051,Gibson County,2025
county,18053,Grant County,2025
county,18055,Greene County,2004
county,18055,Greene County,2005
county,18055,Greene County,2006
county,18055,Greene County,2007
county,18055,Greene County,2008
county,18055,Greene County,2009
county,18055,Greene County,2010
county,18055,Greene County,2011
county,18055,Greene County,2012
county,18055,Greene County,2013
county,18055,Greene County,2014
county,18055,Greene County,2015
county,18055,Greene County,2016
county,18055,Greene County,2017
county,18055,Greene County,2018
county,18055,Greene County,2019
county,18055,Greene County,2020
county,18055,Greene County,2021
county,18055,Greene County,2022
county,18055,Greene County,2023
county,18055,Greene County,2024
county,18055,Greene County,2025
county,18057,Hamilton County,2025
county,18059,Hancock County,2025
county,18061,Harrison County,2025
county,18063,Hendricks County,2025
county,18065,Henry County,2025
county,18067,Howard County,2025
county,18069,Huntington County,2025
county,18071,Jackson County,2025
county,18073,Jasper County,2025
county,18075,Jay County,2025
county,18077,Jefferson County,2025
county,18079,Jennings County,2025
county,18081,Johnson County,2025
county,18083,Knox County,2025
county,18085,Kosciusko County,2025
county,18087,Lagrange County,2025
county,18089,Lake County,2025
county,18091,La Porte County,2025
county,18093,Lawrence County,2025
county,18095,Madison County,2025
county,18097,Marion County,2025
county,18099,Marshall County,2025
county,18101,Martin County,2025
county,18103,Miami County,2025
county,18105,Monroe County,2025
county,18107,Montgomery County,2025
county,18109,Morgan County,2025
county,18111,Newton County,2025
county,18113,Noble County,2025
county,18115,Ohio County,2025
county,18117,Orange County,2025
county,18119,Owen County,2025
county,18121,Parke County,2025
county,18123,Perry County,2025
county,18125,Pike County,2025
county,18127,Porter County,2025
county,18129,Posey County,2025
county,18131,Pulaski County,2025
county,18133,Putnam County,2025
county,18135,Randolph County,2025
